Timestamp,Rating,Feedback,UserId,lem_feedback,feedback_prepped,p_sentiment
2024-04-22,6,"The service is decent, but it's not without its flaws. There have been occasional glitches and bugs that, while not deal-breakers, are a bit annoying. The features are pretty standard, and while it gets the job done, it doesn't offer anything particularly unique or groundbreaking. It's a solid choice if you don't need anything fancy.",Reply@Informix.com,"the service is decent , but it 's not without it flaw . there have been occasional glitch and bug that , while not deal-breakers , are a bit annoying . the feature are pretty standard , and while it get the job done , it doe n't offer anything particularly unique or groundbreaking . it 's a solid choice if you do n't need anything fancy .","the service is decent , but it 's not without it flaw . there have been occasional glitch and bug that , while not deal-breakers , are a bit annoying . the feature are pretty standard , and while it get the job done , it doe n't offer anything particularly unique or groundbreaking . it 's a solid choice if you do n't need anything fancy .",4.0
2024-02-14,7,The new features are incredibly useful and easy to use.,Reply@Gucci.com,the new feature are incredibly useful and easy to use .,the new feature are incredibly useful and easy to use .,8.0
2024-04-03,8,"I can't say enough good things about this service. The customer support is phenomenal, always going above and beyond to ensure that our needs are met. The product itself is reliable and delivers on all its promises, providing a smooth and efficient experience. It's a pleasure to use, and I highly recommend it to anyone looking for a high-quality solution.",Reply@Lumencraft.com,"i ca n't say enough good thing about this service . the customer support is phenomenal , always going above and beyond to ensure that our need are met . the product itself is reliable and delivers on all it promise , providing a smooth and efficient experience . it 's a pleasure to use , and i highly recommend it to anyone looking for a high-quality solution .","i ca n't say enough good thing about this service . the customer support is phenomenal , always going above and beyond to ensure that our need are met . the product itself is reliable and delivers on all it promise , providing a smooth and efficient experience . it 's a pleasure to use , and i highly recommend it to anyone looking for a high-quality solution .",
2024-04-06,6,"Does the job, but nothing outstanding.",Reply@Martin Print.com,"does the job , but nothing outstanding .","does the job , but nothing outstanding .",
2024-02-18,2,The interface is confusing and hard to navigate.,Reply@Biotech.com,the interface is confusing and hard to navigate .,the interface is confusing and hard to navigate .,
2024-01-06,2,Hello,Reply@Jaguar.com,hello,hello,
2024-01-07,3,"The service has been a major letdown. Not only is the software plagued with bugs, but the support team is also unhelpful and slow to respond. We've experienced frequent downtimes, which have affected our business operations. The product lacks key features that were promised, making it a poor investment. I would not recommend this to anyone.",Reply@Meijer.com,"the service ha been a major letdown . not only is the software plagued with bug , but the support team is also unhelpful and slow to respond . we 've experienced frequent downtime , which have affected our business operation . the product lack key feature that were promised , making it a poor investment . i would not recommend this to anyone .","the service ha been a major letdown . not only is the software plagued with bug , but the support team is also unhelpful and slow to respond . we 've experienced frequent downtime , which have affected our business operation . the product lack key feature that were promised , making it a poor investment . i would not recommend this to anyone .",
2024-04-21,10,"I've been using this product for over a year now, and I am continually impressed by the consistent updates and new features that make my work easier and more efficient. The support team is always quick to respond and very helpful, which makes me feel valued as a customer. Overall, this has been an excellent investment for our company.",Reply@Hummer.com,"i 've been using this product for over a year now , and i am continually impressed by the consistent update and new feature that make my work easier and more efficient . the support team is always quick to respond and very helpful , which make me feel valued a a customer . overall , this ha been an excellent investment for our company .","i 've been using this product for over a year now , and i am continually impressed by the consistent update and new feature that make my work easier and more efficient . the support team is always quick to respond and very helpful , which make me feel valued a a customer . overall , this ha been an excellent investment for our company .",
2024-02-10,4,"The product is slow and buggy, not recommended.",Reply@Australian Gas Light Company.com,"the product is slow and buggy , not recommended .","the product is slow and buggy , not recommended .",
2024-04-22,5,It's adequate for basic needs.,Reply@Freddie Mac.com,it 's adequate for basic need .,it 's adequate for basic need .,
2024-03-23,5,"This product is okay, but it doesn't quite live up to my expectations. It has some useful features, but there are also some limitations that can be frustrating. It's not the best tool I've used, but it's not the worst either. It works fine for basic tasks, but if you're looking for something more advanced, you might want to look elsewhere.",Reply@Nautica.com,"this product is okay , but it doe n't quite live up to my expectation . it ha some useful feature , but there are also some limitation that can be frustrating . it 's not the best tool i 've used , but it 's not the worst either . it work fine for basic task , but if you 're looking for something more advanced , you might want to look elsewhere .","this product is okay , but it doe n't quite live up to my expectation . it ha some useful feature , but there are also some limitation that can be frustrating . it 's not the best tool i 've used , but it 's not the worst either . it work fine for basic task , but if you 're looking for something more advanced , you might want to look elsewhere .",
2024-03-12,7,"The intuitive design and user-friendly interface of this software have significantly improved our team's productivity. The seamless integration with other tools we use has streamlined our workflow, saving us time and reducing errors. I particularly appreciate the regular enhancements that keep the platform up-to-date with industry trends.",Reply@Jaeger-Le Coultre.com,"the intuitive design and user-friendly interface of this software have significantly improved our team 's productivity . the seamless integration with other tool we use ha streamlined our workflow , saving u time and reducing error . i particularly appreciate the regular enhancement that keep the platform up-to-date with industry trend .","the intuitive design and user-friendly interface of this software have significantly improved our team 's productivity . the seamless integration with other tool we use ha streamlined our workflow , saving u time and reducing error . i particularly appreciate the regular enhancement that keep the platform up-to-date with industry trend .",
2024-02-08,5,"Overall, the product is fine, but it doesn't really go above and beyond. The setup was relatively painless, and the features are what you'd expect from a standard tool in this category. However, there's nothing particularly innovative about it. The customer support has been hit-or-miss; sometimes they're helpful, other times it feels like they're just reading from a script. It's a satisfactory solution for our current needs, but we're always on the lookout for something better.",Reply@Whole Foods Markets.com,"overall , the product is fine , but it doe n't really go above and beyond . the setup wa relatively painless , and the feature are what you 'd expect from a standard tool in this category . however , there 's nothing particularly innovative about it . the customer support ha been hit-or-miss ; sometimes they 're helpful , other time it feel like they 're just reading from a script . it 's a satisfactory solution for our current need , but we 're always on the lookout for something better .","overall , the product is fine , but it doe n't really go above and beyond . the setup wa relatively painless , and the feature are what you 'd expect from a standard tool in this category . however , there 's nothing particularly innovative about it . the customer support ha been hit-or-miss ; sometimes they 're helpful , other time it feel like they 're just reading from a script . it 's a satisfactory solution for our current need , but we 're always on the lookout for something better .",
