Timestamp,Rating,Feedback,UserId,lem_feedback,feedback_prepped,p_sentiment
2024-02-29,1,"Our experience with this service has been extremely frustrating. The software is riddled with bugs, and the performance is inconsistent at best. We frequently encounter errors that disrupt our work, and the promised features often don't function as advertised. The lack of proper documentation has made troubleshooting a nightmare, and the support team has been less than helpful, providing generic responses that don't address our specific issues. It's clear that this product is not ready for the market, and I would advise others to stay away.",Reply@RTL.com,"our experience with this service ha been extremely frustrating . the software is riddled with bug , and the performance is inconsistent at best . we frequently encounter error that disrupt our work , and the promised feature often do n't function a advertised . the lack of proper documentation ha made troubleshooting a nightmare , and the support team ha been less than helpful , providing generic response that do n't address our specific issue . it 's clear that this product is not ready for the market , and i would advise others to stay away .","experience service ha extremely frustrating . software riddled bug , performance inconsistent best . frequently encounter error disrupt work , promised feature often n't function advertised . lack proper documentation ha made troubleshooting nightmare , support team ha less helpful , providing generic response n't address specific issue . 's clear product ready market , would advise others stay away .",2
2024-04-04,2,"Frequent outages, very frustrating.",Reply@Gold'n Plump.com,"frequent outage , very frustrating .","frequent outage , frustrating .",2
2024-04-26,6,,Reply@Atlas Realty.com,,,5
2024-01-01,1,"Unreliable, often crashes unexpectedly.",Reply@Pro Star Garden Management.com,"unreliable , often crash unexpectedly .","unreliable , often crash unexpectedly .",
2024-03-06,10,"The intuitive design and user-friendly interface of this software have significantly improved our team's productivity. The seamless integration with other tools we use has streamlined our workflow, saving us time and reducing errors. I particularly appreciate the regular enhancements that keep the platform up-to-date with industry trends.",Reply@Vina Concha y Toro C.A..com,"the intuitive design and user-friendly interface of this software have significantly improved our team 's productivity . the seamless integration with other tool we use ha streamlined our workflow , saving u time and reducing error . i particularly appreciate the regular enhancement that keep the platform up-to-date with industry trend .","intuitive design user-friendly interface software significantly improved team 's productivity . seamless integration tool use ha streamlined workflow , saving u time reducing error . particularly appreciate regular enhancement keep platform up-to-date industry trend .",
2024-03-21,6,It's adequate for basic needs.,Reply@Emu Brewery.com,it 's adequate for basic need .,'s adequate basic need .,
2024-03-03,4,"Frequent outages, very frustrating.",Reply@Bradespar.com,"frequent outage , very frustrating .","frequent outage , frustrating .",
2024-04-18,5,"The product is alright, but could be more polished.",Reply@Mello Yello.com,"the product is alright , but could be more polished .","product alright , could polished .",
2024-02-23,10,dfjbyefwi v,Reply@Cerruti.com,dfjbyefwi v,dfjbyefwi v,
2024-01-26,5,"It's fine, but not particularly impressive.",Reply@Buick.com,"it 's fine , but not particularly impressive .","'s fine , particularly impressive .",
