Company,Days Since Last Feedback,Current Lead Status,Last Contact Date,Optimal Outreach Window,Recommended Action
A+ Electronics,218,Closed-Lost,2024-03-29,2024-12-12,Proactive outreach needed
A+ Investments,223,Proposal Sent,2024-04-14,2024-12-12,Proactive outreach needed
A Plus Lawn Care,218,Closed-Won,2024-01-07,2024-12-12,Proactive outreach needed
Access Asia,220,Closed-Lost,2024-01-18,2024-12-12,Proactive outreach needed
Accord Investments,221,New,2024-03-13,2024-12-12,Proactive outreach needed
Acuserv,218,Qualified,2024-03-10,2024-12-12,Proactive outreach needed
Adapt,219,Proposal Sent,2024-01-02,2024-12-12,Proactive outreach needed
Adaptabiz,219,Qualified,2024-01-30,2024-12-12,Proactive outreach needed
Adaptas,223,New,2024-03-10,2024-12-12,Proactive outreach needed
Adaptaz,220,On-hold,2024-04-27,2024-12-12,Proactive outreach needed
Advansed Teksyztems,224,New,2024-03-21,2024-12-12,Proactive outreach needed
Affinity Investment Group,218,Warm ,2024-03-20,2024-12-12,Proactive outreach needed
Afforda,222,New,2024-03-07,2024-12-12,Proactive outreach needed
Afforda Merchant Services,218,Proposal Sent,2024-01-04,2024-12-12,Proactive outreach needed
Alert Alarm Company,218,Warm ,2024-04-09,2024-12-12,Proactive outreach needed
Alladin Realty,218,Disqualified,2024-04-29,2024-12-12,Proactive outreach needed
Alladin's Lamp,222,Disqualified,2024-01-13,2024-12-12,Proactive outreach needed
Architectural Genie,218,In Progress,2024-01-16,2024-12-12,Proactive outreach needed
Asian Answers,221,On-hold,2024-03-13,2024-12-12,Proactive outreach needed
Asian Fusion,219,Cold,2024-02-19,2024-12-12,Proactive outreach needed
Asian Junction,218,In Progress,2024-02-04,2024-12-12,Proactive outreach needed
Asian Plan,221,Contacted,2024-02-14,2024-12-12,Proactive outreach needed
Asian Solutions,218,On-hold,2024-04-20,2024-12-12,Proactive outreach needed
Asiatic Solutions,232,Negotiation,2024-01-16,2024-12-12,Proactive outreach needed
Atlas Architectural Designs,220,Disqualified,2024-04-30,2024-12-12,Proactive outreach needed
Atlas Realty,223,Negotiation,2024-03-06,2024-12-12,Proactive outreach needed
Avant Garde Appraisal,220,Disqualified,2024-02-05,2024-12-12,Proactive outreach needed
Avant Garde Appraisal Group,223,Closed-Won,2024-01-29,2024-12-12,Proactive outreach needed
Avant Garde Interior Designs,218,Reengaged,2024-04-12,2024-12-12,Proactive outreach needed
Awthentikz,223,Warm ,2024-01-04,2024-12-12,Proactive outreach needed
Back To Basics Chiropractic Clinic,218,Referral,2024-01-17,2024-12-12,Proactive outreach needed
Balanced Fortune,220,Contacted,2024-01-11,2024-12-12,Proactive outreach needed
Beasts of Beauty,218,Contacted,2024-04-12,2024-12-12,Proactive outreach needed
Belle Ladi,218,Proposal Sent,2024-04-06,2024-12-12,Proactive outreach needed
Belle Lady,222,Proposal Sent,2024-02-14,2024-12-12,Proactive outreach needed
Benesome,219,Closed-Lost,2024-01-06,2024-12-12,Proactive outreach needed
Best Biz Survis,219,Warm ,2024-02-04,2024-12-12,Proactive outreach needed
Better Business Ideas and Services,219,Reengaged,2024-04-08,2024-12-12,Proactive outreach needed
Buena Vista Garden Maintenance,223,Closed-Won,2024-01-01,2024-12-12,Proactive outreach needed
Buena Vista Realty Service,218,In Progress,2024-02-08,2024-12-12,Proactive outreach needed
Body Fate,218,Disqualified,2024-03-22,2024-12-12,Proactive outreach needed
Body Toning,219,Cold,2024-01-13,2024-12-12,Proactive outreach needed
Bold Ideas,218,Disqualified,2024-03-01,2024-12-12,Proactive outreach needed
Bonanza Produce Stores,220,Closed-Lost,2024-03-08,2024-12-12,Proactive outreach needed
Bountiful Harvest Health Food Store,219,Disqualified,2024-04-23,2024-12-12,Proactive outreach needed
Brilliant Home Designs,218,Qualified,2024-04-17,2024-12-12,Proactive outreach needed
Capitalcorp,226,New,2024-03-08,2024-12-12,Proactive outreach needed
Castle Realty,221,Cold,2024-04-15,2024-12-12,Proactive outreach needed
Chargepal,223,Disqualified,2024-01-16,2024-12-12,Proactive outreach needed
Choices,218,New,2024-04-17,2024-12-12,Proactive outreach needed
Circuit Design,222,Cold,2024-03-01,2024-12-12,Proactive outreach needed
Complete Tech,219,On-hold,2024-04-07,2024-12-12,Proactive outreach needed
Corinthian Designs,230,Cold,2024-04-24,2024-12-12,Proactive outreach needed
Corpbay,219,Cold,2024-04-13,2024-12-12,Proactive outreach needed
Cougar Investment,219,Qualified,2024-01-29,2024-12-12,Proactive outreach needed
Crazy Tiger,219,Reengaged,2024-04-17,2024-12-12,Proactive outreach needed
Creative Wealth,223,On-hold,2024-03-30,2024-12-12,Proactive outreach needed
Creative Wealth Management,233,Contacted,2024-02-21,2024-12-12,Proactive outreach needed
Custom Lawn Care,219,In Progress,2024-01-18,2024-12-12,Proactive outreach needed
Custom Lawn Service,228,Warm ,2024-02-19,2024-12-12,Proactive outreach needed
Cut Above,218,Nurturing,2024-03-08,2024-12-12,Proactive outreach needed
Cut Rite,224,Negotiation,2024-03-16,2024-12-12,Proactive outreach needed
Cut Rite Lawn Care,228,In Progress,2024-02-28,2024-12-12,Proactive outreach needed
Datacorp,224,Nurturing,2024-01-14,2024-12-12,Proactive outreach needed
Desert Garden Help,218,Referral,2024-03-09,2024-12-12,Proactive outreach needed
Destiny Planners,229,Warm ,2024-04-04,2024-12-12,Proactive outreach needed
Destiny Realty,218,Warm ,2024-04-13,2024-12-12,Proactive outreach needed
Destiny Realty Solutions,221,Closed-Lost,2024-03-18,2024-12-12,Proactive outreach needed
Dream Home Improvements,225,On-hold,2024-03-11,2024-12-12,Proactive outreach needed
Dream Home Real Estate Service,221,Referral,2024-02-15,2024-12-12,Proactive outreach needed
Dreamscape Garden Care,225,On-hold,2024-01-27,2024-12-12,Proactive outreach needed
Dun Rite Lawn Care,227,Disqualified,2024-03-15,2024-12-12,Proactive outreach needed
Dun Rite Lawn Maintenance,220,Negotiation,2024-04-23,2024-12-12,Proactive outreach needed
Dynatronics Accessories,221,Cold,2024-01-27,2024-12-12,Proactive outreach needed
E-zhe Source,218,Reengaged,2024-02-04,2024-12-12,Proactive outreach needed
Earthworks Garden Kare,218,Referral,2024-03-17,2024-12-12,Proactive outreach needed
Earthworks Yard Maintenance,219,Proposal Sent,2024-04-06,2024-12-12,Proactive outreach needed
Eden Lawn Service,221,Nurturing,2024-01-09,2024-12-12,Proactive outreach needed
Edge Garden Services,219,Proposal Sent,2024-03-11,2024-12-12,Proactive outreach needed
Edge Yard Service,219,Qualified,2024-01-26,2024-12-12,Proactive outreach needed
Ejecta,226,Nurturing,2024-01-08,2024-12-12,Proactive outreach needed
Electronic Geek,220,Closed-Won,2024-03-25,2024-12-12,Proactive outreach needed
Electronics Source,218,In Progress,2024-03-10,2024-12-12,Proactive outreach needed
Enrich Garden Services,222,Negotiation,2024-03-04,2024-12-12,Proactive outreach needed
Enviro Architectural Designs,222,Closed-Lost,2024-02-23,2024-12-12,Proactive outreach needed
Environ Architectural Design,227,Referral,2024-01-21,2024-12-12,Proactive outreach needed
EnviroSource Design,221,Closed-Won,2024-02-15,2024-12-12,Proactive outreach needed
Envirotecture Design,219,New,2024-02-24,2024-12-12,Proactive outreach needed
Envirotecture Design Service,219,Proposal Sent,2024-04-23,2024-12-12,Proactive outreach needed
Exact Realty,219,Negotiation,2024-02-02,2024-12-12,Proactive outreach needed
Exact Solutions,227,Cold,2024-03-14,2024-12-12,Proactive outreach needed
Excella,219,Negotiation,2024-01-27,2024-12-12,Proactive outreach needed
Express Merchant Service,225,Warm ,2024-04-26,2024-12-12,Proactive outreach needed
Fellowship Investments,219,Qualified,2024-02-28,2024-12-12,Proactive outreach needed
Fireball,225,Referral,2024-02-13,2024-12-12,Proactive outreach needed
First Choice Garden Maintenance,218,Negotiation,2024-04-29,2024-12-12,Proactive outreach needed
First Choice Yard Help,220,Cold,2024-03-10,2024-12-12,Proactive outreach needed
First Rate Choice,218,Nurturing,2024-02-26,2024-12-12,Proactive outreach needed
Fit Tonic,231,New,2024-03-14,2024-12-12,Proactive outreach needed
Flexus,224,Negotiation,2024-01-03,2024-12-12,Proactive outreach needed
Formula Gray,220,Reengaged,2024-03-13,2024-12-12,Proactive outreach needed
Formula Grey,218,Closed-Lost,2024-02-17,2024-12-12,Proactive outreach needed
Four Leaf Clover,220,Closed-Lost,2024-01-13,2024-12-12,Proactive outreach needed
Fragrant Flower Lawn Services,218,Closed-Lost,2024-04-09,2024-12-12,Proactive outreach needed
Freedom Map,218,Closed-Lost,2024-03-21,2024-12-12,Proactive outreach needed
Fresh Start,218,Nurturing,2024-04-27,2024-12-12,Proactive outreach needed
Friendly Advice,220,Negotiation,2024-01-08,2024-12-12,Proactive outreach needed
Friendly Interior Design,218,Closed-Won,2024-03-02,2024-12-12,Proactive outreach needed
Full Color,222,Disqualified,2024-03-21,2024-12-12,Proactive outreach needed
Future Bright,218,Proposal Sent,2024-04-12,2024-12-12,Proactive outreach needed
Future Plan,219,Reengaged,2024-01-12,2024-12-12,Proactive outreach needed
Galaxy Man,232,New,2024-03-26,2024-12-12,Proactive outreach needed
Gamma Gas,225,Nurturing,2024-01-22,2024-12-12,Proactive outreach needed
Gamma Grays,218,Reengaged,2024-01-11,2024-12-12,Proactive outreach needed
Gamma Realty,222,Negotiation,2024-03-10,2024-12-12,Proactive outreach needed
Garden Guru,218,New,2024-01-26,2024-12-12,Proactive outreach needed
Garden Master,221,Negotiation,2024-02-14,2024-12-12,Proactive outreach needed
Gas Depot,218,Closed-Lost,2024-04-12,2024-12-12,Proactive outreach needed
Gas Legion,229,Referral,2024-03-02,2024-12-12,Proactive outreach needed
Gas Zone,220,Disqualified,2024-03-09,2024-12-12,Proactive outreach needed
Gold Leaf Garden Management,220,Contacted,2024-02-08,2024-12-12,Proactive outreach needed
Gold Touch,222,Proposal Sent,2024-04-30,2024-12-12,Proactive outreach needed
Golden Joy,218,New,2024-01-28,2024-12-12,Proactive outreach needed
Good Times,229,Qualified,2024-01-02,2024-12-12,Proactive outreach needed
Grade A Investment,219,Reengaged,2024-03-26,2024-12-12,Proactive outreach needed
Grass Roots Yard Services,224,Reengaged,2024-02-11,2024-12-12,Proactive outreach needed
Grey Fade,222,In Progress,2024-03-01,2024-12-12,Proactive outreach needed
Greyvoid,225,Closed-Lost,2024-04-24,2024-12-12,Proactive outreach needed
Happy Bear Investment,219,Referral,2024-01-19,2024-12-12,Proactive outreach needed
Happy Family,226,Qualified,2024-03-10,2024-12-12,Proactive outreach needed
Helios Air,218,Reengaged,2024-03-20,2024-12-12,Proactive outreach needed
Helping Hand,220,Nurturing,2024-02-28,2024-12-12,Proactive outreach needed
Honest Air Group,220,New,2024-03-29,2024-12-12,Proactive outreach needed
House of Gas,219,Negotiation,2024-04-01,2024-12-12,Proactive outreach needed
Hoyden,221,Referral,2024-01-27,2024-12-12,Proactive outreach needed
Idea Infinity,218,Contacted,2024-03-26,2024-12-12,Proactive outreach needed
