Company Name,Status,User Email,conversion_probability
Xerox,On-hold,Reply@Xerox.com,0.73
Google,On-hold,Reply@Google.com,0.73
Kimberly-Clark,Negotiation,Reply@Kimberly-Clark.com,0.66
Whole Foods Markets,Warm ,Reply@Whole Foods Markets.com,0.56
Boeing,Cold,Reply@Boeing.com,0.4958333333333334
Verizon,Reengaged,Reply@Verizon.com,0.4871666666666667
Formula Gray,Reengaged,Reply@Formula Gray.com,0.48666666666666664
Lanc̫me,Closed-Lost,Reply@Lanc̫me.com,0.48666666666666664
Kmart,Qualified,Reply@Kmart.com,0.48038095238095246
Cascadian Farm,Negotiation,Reply@Cascadian Farm.com,0.465
Universal Studios,Negotiation,Reply@Universal Studios.com,0.44250000000000006
General Motors,Disqualified,Reply@General Motors.com,0.4393333333333333
Gateway Computers,Referral,Reply@Gateway Computers.com,0.41738095238095235
Gatorade,Proposal Sent,Reply@Gatorade.com,0.41438095238095246
EDF Electric,Cold,Reply@EDF Electric.com,0.41
Kixstaart,Negotiation,Reply@Kixstaart.com,0.41
Star Bright Investment Group,On-hold,Reply@Star Bright Investment Group.com,0.4
AmerisourceBergen,In Progress,Reply@AmerisourceBergen.com,0.3991666666666667
Spanx,Negotiation,Reply@Spanx.com,0.39783333333333326
Texas Instruments,Cold,Reply@Texas Instruments.com,0.39349999999999996
Abercrombie & Fitch,On-hold,Reply@Abercrombie & Fitch.com,0.391
Yukon,In Progress,Reply@Yukon.com,0.39
Mondi,Cold,Reply@Mondi.com,0.38666666666666666
Vitamax Health Food Center,Closed-Lost,Reply@Vitamax Health Food Center.com,0.36
Ice Breakers,Nurturing,Reply@Ice Breakers.com,0.35
Star Channel,Warm ,Reply@Star Channel.com,0.34
Kissan,Cold,Reply@Kissan.com,0.3107142857142857
Pizza Rolls,Warm ,Reply@Pizza Rolls.com,0.31
Language History,In Progress,Reply@Language History.com,0.31
Hong Kong Link,New,Reply@Hong Kong Link.com,0.31
Mrs Mac's Pies,Reengaged,Reply@Mrs Mac's Pies.com,0.31
Tegel Foods,Referral,Reply@Tegel Foods.com,0.3
Farberware,Closed-Lost,Reply@Farberware.com,0.28
Breville,Cold,Reply@Breville.com,0.28
Imtech,Contacted,Reply@Imtech.com,0.27
Time,Proposal Sent,Reply@Time.com,0.26
Funnelback,Cold,Reply@Funnelback.com,0.26
Caravan,Negotiation,Reply@Caravan.com,0.26
Rio Tinto Group,Reengaged,Reply@Rio Tinto Group.com,0.25
Prospa-Pal,Negotiation,Reply@Prospa-Pal.com,0.25
Mountaineer,New,Reply@Mountaineer.com,0.25
