Company Name	Employee Count	Region Served
Company Name	8870	Australia
A+ Electronics	30958	USA, India, Europe
A+ Investments	26677	Europe
A Plus Lawn Care	34069	China
Access Asia	31936	USA, India, Europe
Accord Investments	17903	India
Acuserv	7560	Europe
Adapt	4036	Japan, India, China
Adaptabiz	24614	China
Adaptas	23967	Japan
Adaptaz	7163	China
Advansed Teksyztems	25914	Japan
Affinity Investment Group	19468	India
Afforda	22451	USA, Australia, China
Afforda Merchant Services	34816	USA, Japan
Alert Alarm Company	12635	India
Alladin Realty	14542	Japan
Alladin's Lamp	20231	USA, Australia, China
Architectural Genie	10534	Australia
Asian Answers	9515	USA, India, Europe
Asian Fusion	14930	Australia
Asian Junction	19415	Europe, India, Australia
Asian Plan	25264	Europe, India, Australia
Asian Solutions	34888	China
Asiatic Solutions	5130	Europe, India, Australia
Atlas Architectural Designs	15962	India, Australia, Japan
Atlas Realty	15946	China
Avant Garde Appraisal	11833	Europe, India, Australia
Avant Garde Appraisal Group	28943	China
Avant Garde Interior Designs	7278	USA, Australia, China
Awthentikz	20936	USA, India, Europe
Back To Basics Chiropractic Clinic	13080	Japan
Balanced Fortune	25254	Europe
Beasts of Beauty	10024	Europe, India, Australia
Belle Ladi	30659	Australia
Belle Lady	28222	Japan
Benesome	15341	USA
Best Biz Survis	32398	China
Better Business Ideas and Services	24343	Japan, India, China
Buena Vista Garden Maintenance	33269	Japan, India, China
Buena Vista Realty Service	30554	USA, Australia, China
Body Fate	11475	China
Body Toning	13754	India, Australia, Japan
Bold Ideas	27099	India
Bonanza Produce Stores	31405	Europe, India, Australia
Bountiful Harvest Health Food Store	20395	USA, India, Europe
Brilliant Home Designs	9748	India
Capitalcorp	15985	Japan
Castle Realty	33725	Europe, India, Australia
Chargepal	1860	USA, Australia, China
Choices	19450	USA, Australia, China
Circuit Design	746	Europe, India, Australia
Complete Tech	3685	Europe, India, Australia
Corinthian Designs	11726	Japan, China, Europe
Corpbay	17236	Japan
Cougar Investment	25739	India
Crazy Tiger	10067	Japan
Creative Wealth	2919	Japan, China, Europe
Creative Wealth Management	9373	Japan, India, China
Custom Lawn Care	5672	India, Australia, Japan
Custom Lawn Service	34250	China
Cut Above	14104	Europe
Cut Rite	27595	Japan
Cut Rite Lawn Care	30274	India, Australia, Japan
Datacorp	28870	India, Australia, Japan
Desert Garden Help	25149	USA, India, Europe
Destiny Planners	13396	Japan
Destiny Realty	5071	India
Destiny Realty Solutions	27054	India
Dream Home Improvements	19433	Europe
Dream Home Real Estate Service	22781	Japan, India, China
Dreamscape Garden Care	8401	Europe
Dun Rite Lawn Care	22914	USA
Dun Rite Lawn Maintenance	30433	USA, India, Europe
Dynatronics Accessories	1147	Europe
E-zhe Source	32663	India, Australia, Japan
Earthworks Garden Kare	5499	India, Australia, Japan
Earthworks Yard Maintenance	8688	USA, Australia, China
Eden Lawn Service	17246	USA, Japan
Edge Garden Services	22650	USA, Australia, China
Edge Yard Service	13103	USA, Australia, China
Ejecta	15751	USA
Electronic Geek	21660	Japan, China, Europe
Electronics Source	19316	Europe, India, Australia
Enrich Garden Services	23056	Japan, India, China
Enviro Architectural Designs	21239	India
Environ Architectural Design	28632	Japan, China, Europe
EnviroSource Design	21287	China
Envirotecture Design	8581	Japan, China, Europe
Envirotecture Design Service	19610	USA
Exact Realty	25595	USA, Australia, China
Exact Solutions	28566	Japan, India, China
Excella	8451	India
Express Merchant Service	24797	India
Fellowship Investments	34870	Europe
Fireball	15497	Australia
First Choice Garden Maintenance	32868	Japan, India, China
First Choice Yard Help	1155	India, Australia, Japan
First Rate Choice	14779	USA, Australia, China
Fit Tonic	15584	USA, Japan
Flexus	344	Europe
Formula Gray	28950	Australia
Formula Grey	8342	Australia
Four Leaf Clover	29839	India, Australia, Japan
Fragrant Flower Lawn Services	2439	India
Freedom Map	4372	USA, Australia, China
Fresh Start	20741	Australia
Friendly Advice	12774	Europe
Friendly Interior Design	13647	Australia
Full Color	21411	Europe, India, Australia
Future Bright	21791	Japan, India, China
Future Plan	600	USA, Australia, China
Galaxy Man	30439	Europe, India, Australia
Gamma Gas	16388	USA, Japan
Gamma Grays	16011	Europe
Gamma Realty	13589	Japan, China, Europe
Garden Guru	9871	Japan, China, Europe
Garden Master	12869	USA
Gas Depot	10571	USA, India, Europe
Gas Legion	14835	Japan, India, China
Gas Zone	26874	USA
Gold Leaf Garden Management	19503	USA
Gold Touch	10248	USA, Japan
Golden Joy	21493	USA, India, Europe
Good Times	33789	Japan
Grade A Investment	31360	USA
Grass Roots Yard Services	6100	USA
Grey Fade	240	Europe
Greyvoid	23055	Europe
Happy Bear Investment	12445	USA
Happy Family	33592	USA, Australia, China
Helios Air	6822	USA
Helping Hand	29044	India
Honest Air Group	20466	USA
House of Gas	23747	India
Hoyden	9014	China
Idea Infinity	4370	USA, Japan
Ideal Garden Maintenance	29317	Japan, China, Europe
Ideal Garden Management	32461	India
Incluesiv	11611	USA, Japan
Independent Investors	5774	India
Independent Wealth Management	23220	India, Australia, Japan
Indiewealth	18648	USA, Australia, China
Infinite Wealth	13906	Japan, India, China
Infinite Wealth Planners	33514	USA, Japan
Infinity Investment Plan	18962	USA
Integra Design	25840	USA, Japan
Integra Investment Plan	22991	USA, India, Europe
Integra Investment Service	20500	Australia
Integra Wealth	30173	Europe
Integra Wealth Planners	17561	Japan, China, Europe
Intelacard	28040	USA, India, Europe
Intelli Wealth Group	24094	USA, Australia, China
Jackhammer Technologies	14602	India, Australia, Japan
Jackpot Consultant	6334	Europe
Just For Fun	12279	Europe, India, Australia
Knockout Kickboxing	30599	USA, India, Europe
Komerci	30554	USA, Australia, China
Konsili	20087	USA
Landskip Yard Care	7680	USA, Japan
Landskip Yard Service	34004	Australia
Las Vegas Yard Management	20191	Australia
Lawn N' Order Garden Care	21275	Japan, India, China
Lawnscape Garden Maintenance	22105	Europe
Lazysize	8486	India, Australia, Japan
Libera	11431	India, Australia, Japan
Liberty Wealth Planner	4219	USA, India, Europe
Liberty Wealth Planners	17968	Japan
Life Map	2225	Japan
Life Map Planners	25898	India, Australia, Japan
Life Plan Counselling	5404	India
Life's Gold	18156	USA, Australia, China
Listen Up	11357	Australia
Locost Accessories	7542	USA
Lone Wolf Wealth Planning	30903	USA, Japan
Macroserve	33546	Australia
Magna Architectural Design	25299	India
Magna Consulting	15430	USA, India, Europe
Magna Solution	27288	Europe, India, Australia
Matrix Architectural Service	33533	Australia
Magik Gray	15760	Australia
Magik Grey	33967	USA, Japan
Magik Lamp	32215	India, Australia, Japan
Magna Architectural Design	11153	China
Magna Gases	9884	India
Magna Wealth	11134	USA, India, Europe
MagnaSolution	14918	Europe
ManCharm	25647	USA, Japan
ManPower	33013	Europe, India, Australia
Manu Connection	21751	USA, Australia, China
Maxaprofit	28191	Australia
Master Builder Design Services	7458	Australia
Matrix Architectural Service	24484	Japan, China, Europe
Matrix Design	2152	Japan, China, Europe
Matrix Interior Design	24012	India, Australia, Japan
Maxi-Tech	25999	USA, India, Europe
Maxiserve	18083	Europe, India, Australia
MegaSolutions	24916	Europe, India, Australia
Megatronic	25369	India, Australia, Japan
Megatronic Plus	19455	USA, Japan
Merrymaking	29715	USA, Australia, China
Micro Design	28413	USA, Japan
Mikro Designs	27213	Japan, China, Europe
Mikrotechnic	20218	Australia
Millenia Life	680	India
Mission G	33691	Australia
Mission Realty	10521	Europe, India, Australia
Mission You	1245	USA
Modern Architecture Design	13549	China
Modern Realty	3990	India
Monit	25957	China
Monlinks	16562	USA
Monk Home Funding Services	3551	USA, Japan
Monk Home Improvements	28875	China
Monk Home Loans	8088	Australia
Monk House Maker	31189	USA, Japan
Monk House Sales	31057	Japan
Monk Real Estate Service	23759	USA, Japan
Monmax	4162	Japan, India, China
Monsource	2001	India
Multi-Systems Merchant Services	19663	USA, Australia, China
Multi Tech Development	13512	USA
Multicerv	4051	USA, Australia, China
Muscle Factory	18775	Australia
Naturohair	5913	USA, India, Europe
Netaid	21420	Europe
Netobill	19443	USA, Japan
Netcom Business Services	17228	USA
Netcore	14613	Europe, India, Australia
Netstars Matrix Design	11114	Europe, India, Australia
Network Air	1392	USA, Japan
New World	24571	Europe, India, Australia
New World Realty	32176	Europe, India, Australia
Newhair	28897	USA, India, Europe
Northern Star	3362	USA
Nutri G	32276	Japan, China, Europe
Omni Architectural Designs	34011	India
Omni Realty	28398	Japan, China, Europe
Omni Source	27331	Europe
Omni Tech	6739	USA
Omni Tech Solutions	4017	Australia
One-Up Realtors	27296	Japan
One-Up Realty	2687	USA, Australia, China
Opti-Tek	11142	Japan, China, Europe
Opticomp	15716	Europe
Orion	24100	Japan
Parts and Pieces	25951	Europe, India, Australia
Pearl Architectural Design	15114	Europe
Perisolution	27389	USA, India, Europe
Personal & Corporate Design	28709	China
Plan Future	31788	USA, Australia, China
Plan Smart	4138	India, Australia, Japan
Plan Smart Partner	32327	Europe, India, Australia
Planet Profit	3986	China
Planetbiz	32241	Japan, India, China
Platinum Interior Design	12816	Europe, India, Australia
Pointers	5042	Japan, China, Europe
Powerbod	24688	USA, India, Europe
Practi-Plan	6403	Japan, China, Europe
Practi-Plan Mapping	10717	Japan
Prahject Planner	22850	Japan, India, China
Prestiga-Biz	21886	USA, Australia, China
Prestigabiz	20202	USA, India, Europe
Pro-Care Garden Maintenance	14810	Japan, China, Europe
Pro Garden Management	5935	India, Australia, Japan
Pro Property Maintenance	4418	Japan, India, China
Pro Star	28285	Japan, China, Europe
Pro Star Garden Management	27349	USA, India, Europe
Pro Yard Services	700	USA, Japan
Profitpros	14889	USA, India, Europe
Prospa-Pal	13036	Japan
Protean	20050	Japan
Quality Event Planner	2401	USA, Australia, China
Quality Merchant Services	9977	Australia
Quality Realty Service	7651	USA, Australia, China
Quest Technology Service	5748	Australia
Quickbiz	23819	Europe
Rainbow Life	2918	Japan, India, China
Realty Depot	5073	Japan
Realty Solution	25268	USA, Japan
Realty Zone	10252	Europe
Red Bears Tavern	30349	India, Australia, Japan
Red Fox Tavern	27248	India
Reliable Garden Management	13874	Europe, India, Australia
Reliable Guidance	24088	Japan
Reliable Investments	4945	Europe
Rich and Happy	21727	USA, India, Europe
Rite Solution	33299	India
Rivera Property Maintenance	456	China
Road Runner Lawn Services	33142	Japan, India, China
Romp	33589	USA, Japan
Royal Gas	28353	USA, Australia, China
Sexy Babe	20803	Europe
Seksi Ladi	10108	Europe
Seksi Lady	24182	USA
Sexsi Senorita	12441	Japan, India, China
Sky High Financial Advice	6795	Europe, India, Australia
Signa Air	22912	India, Australia, Japan
Simple Solutions	32312	USA, India, Europe
Simply Appraisals	17193	USA, India, Europe
Simply Save	30115	Japan
Sistemos	1669	USA, Australia, China
Solid Future	2548	China
Solution Answers	16407	USA, India, Europe
Solution Bridge	25008	USA
Solution Realty	23705	India, Australia, Japan
Specific Appraisals	18884	USA, Japan
Star Assistance	3200	Europe
Star Bright Investment Group	3256	China
Star Interior Design	5607	India, Australia, Japan
Star Merchant Services	16545	Japan, China, Europe
StopGrey	20002	USA, India, Europe
Stratabiz	5659	India, Australia, Japan
Stratacard	31768	Europe, India, Australia
Stratagee	1441	USA, Australia, China
Stratapro	16607	USA, India, Europe
Strategic Profit	30330	India, Australia, Japan
Strategy Consulting	4732	Europe
Strategy Planner	21380	Europe, India, Australia
Strength Gurus	11645	USA, Australia, China
Strongbod	7407	Japan, China, Europe
Strong Life	27980	USA, Australia, China
Suadela Investment	27536	USA, India, Europe
Success Is Yours	28673	China
Sunburst Garden Management	8190	India
Sunny Real Estate Investments	21665	Japan, China, Europe
Superior Appraisals	23163	Japan
Superior Interior Design	20014	Europe
System Star	27646	USA, Japan
System Star Solutions	8720	India
Target Realty	30641	India, Australia, Japan
Target Source	1617	USA
Team Designers and Associates	3880	Japan, India, China
Team Uno	19638	USA, India, Europe
Techo Solutions	150	USA, Japan
Terra	5175	India, Australia, Japan
Terra Nova Garden Services	13446	Europe, India, Australia
