Company Name	Status	LeadId	Date	User Email
A+ Electronics	Closed-Lost	4B79ECA7	2024-03-29	Reply@A+ Electronics.com
A+ Investments	Proposal Sent	8A4C9167	2024-04-14	Reply@A+ Investments.com
A Plus Lawn Care	Closed-Won	137894C6	2024-01-07	Reply@A Plus Lawn Care.com
Access Asia	Closed-Lost	E5CEFAB2	2024-01-18	Reply@Access Asia.com
Accord Investments	New	199F3426	2024-03-13	Reply@Accord Investments.com
Acuserv	Qualified	1C846958	2024-03-10	Reply@Acuserv.com
Adapt	Proposal Sent	C6B40A58	2024-01-02	Reply@Adapt.com
Adaptabiz	Qualified	18B562F4	2024-01-30	Reply@Adaptabiz.com
Adaptas	New	7A7FCD1D	2024-03-10	Reply@Adaptas.com
Adaptaz	On-hold	6B5F3451	2024-04-27	Reply@Adaptaz.com
Advansed Teksyztems	New	6C9B4503	2024-03-21	Reply@Advansed Teksyztems.com
Affinity Investment Group	Warm 	522E1C9C	2024-03-20	Reply@Affinity Investment Group.com
Afforda	New	8B22FC10	2024-03-07	Reply@Afforda.com
Afforda Merchant Services	Proposal Sent	F5769E32	2024-01-04	Reply@Afforda Merchant Services.com
Alert Alarm Company	Warm 	20B9BDE5	2024-04-09	Reply@Alert Alarm Company.com
Alladin Realty	Disqualified	11CE61A3	2024-04-29	Reply@Alladin Realty.com
Alladin's Lamp	Disqualified	328AF2A2	2024-01-13	Reply@Alladin's Lamp.com
Architectural Genie	In Progress	300748A3	2024-01-16	Reply@Architectural Genie.com
Asian Answers	On-hold	F28A1513	2024-03-13	Reply@Asian Answers.com
Asian Fusion	Cold	25559796	2024-02-19	Reply@Asian Fusion.com
Asian Junction	In Progress	D23CC9DE	2024-02-04	Reply@Asian Junction.com
Asian Plan	Contacted	EE945B24	2024-02-14	Reply@Asian Plan.com
Asian Solutions	On-hold	FB3158BF	2024-04-20	Reply@Asian Solutions.com
Asiatic Solutions	Negotiation	93296893	2024-01-16	Reply@Asiatic Solutions.com
Atlas Architectural Designs	Disqualified	7C1B9082	2024-04-30	Reply@Atlas Architectural Designs.com
Atlas Realty	Negotiation	B83CA47E	2024-03-06	Reply@Atlas Realty.com
Avant Garde Appraisal	Disqualified	E0AE570C	2024-02-05	Reply@Avant Garde Appraisal.com
Avant Garde Appraisal Group	Closed-Won	F20C6BBE	2024-01-29	Reply@Avant Garde Appraisal Group.com
Avant Garde Interior Designs	Reengaged	3EE866C3	2024-04-12	Reply@Avant Garde Interior Designs.com
Awthentikz	Warm 	D9634A37	2024-01-04	Reply@Awthentikz.com
Back To Basics Chiropractic Clinic	Referral	DAEF04CD	2024-01-17	Reply@Back To Basics Chiropractic Clinic.com
Balanced Fortune	Contacted	04D15CD6	2024-01-11	Reply@Balanced Fortune.com
Beasts of Beauty	Contacted	32F9AAC6	2024-04-12	Reply@Beasts of Beauty.com
Belle Ladi	Proposal Sent	728E0931	2024-04-06	Reply@Belle Ladi.com
Belle Lady	Proposal Sent	AB7DF0F6	2024-02-14	Reply@Belle Lady.com
Benesome	Closed-Lost	C70CE6B5	2024-01-06	Reply@Benesome.com
Best Biz Survis	Warm 	D0FB3501	2024-02-04	Reply@Best Biz Survis.com
Better Business Ideas and Services	Reengaged	3F9B06FF	2024-04-08	Reply@Better Business Ideas and Services.com
Buena Vista Garden Maintenance	Closed-Won	9CB9C8C1	2024-01-01	Reply@Buena Vista Garden Maintenance.com
Buena Vista Realty Service	In Progress	F607F93A	2024-02-08	Reply@Buena Vista Realty Service.com
Body Fate	Disqualified	C4C9A54D	2024-03-22	Reply@Body Fate.com
Body Toning	Cold	54B03145	2024-01-13	Reply@Body Toning.com
Bold Ideas	Disqualified	89C8ED81	2024-03-01	Reply@Bold Ideas.com
Bonanza Produce Stores	Closed-Lost	8774B461	2024-03-08	Reply@Bonanza Produce Stores.com
Bountiful Harvest Health Food Store	Disqualified	DEBABEE6	2024-04-23	Reply@Bountiful Harvest Health Food Store.com
